Date,Views,Unique
2023-10-29 13:05:00,8205,599
2023-10-29 13:07:00,8205,599
2023-10-29 13:36:00,8243,601
2023-10-29 13:46:00,8243,601
2023-10-29 13:50:00,8243,601
2023-10-29 14:00:00,8241,601
2023-10-29 14:07:00,8241,601
2023-10-29 14:08:00,8241,601
2023-10-29 14:10:00,8241,601
2023-10-29 14:13:00,8255,603
2023-10-29 14:14:00,8255,603
2023-10-29 14:15:00,8255,603
2023-10-29 14:17:00,8255,603
2023-10-29 14:18:00,8255,603
2023-11-01 02:21:00,9062,610
2023-11-04 00:32:00,8669,593
2023-11-17 08:26:00,7130,548
2023-11-22 10:49:00,8148,575
2023-11-26 21:36:00,8643,579
2023-12-11 10:41:00,7992,530
2024-02-02 10:04:00,9414,540
2024-02-22 19:33:00,8619,562
2024-03-08 15:12:00,10565,599
2024-03-08 15:12:00,10565,599
2024-03-11 13:20:00,9697,569
2024-08-01 11:05:00,7696,461
2024-08-14 13:21:00,6470,408
2024-08-18 23:21:00,6626,403
2024-11-07 11:44:00,4286,460
2025-01-01 12:48:55,1778,222
2025-01-05 17:55:56,1682,165
2025-01-27 14:54:49,3731,436
2025-01-28 00:52:34,3829,438
2025-01-28 00:52:34,3829,438
2025-01-31 22:04:07,4084,453
2025-02-01 00:30:26,4199,456
2025-02-14 00:28:33,2781,391
2025-03-01 00:32:27,4765,546
2025-03-14 00:29:47,5124,557
2025-04-01 00:35:32,5186,531
2025-04-14 00:33:51,4197,494
2025-05-01 00:35:57,3823,478
2025-05-14 00:32:17,3872,494
2025-06-01 00:41:36,4153,428
2025-06-14 00:32:18,3035,467
2025-07-01 00:38:46,3724,427
2025-07-14 00:36:54,4109,658
2025-08-01 00:40:54,5202,569
2025-08-14 00:33:46,3590,436
2025-09-01 00:39:02,2720,404
2025-09-14 00:33:44,3816,421
2025-10-01 00:35:50,3138,440
2025-10-14 00:31:02,3576,433
2025-11-01 00:35:13,3676,477
2025-11-14 00:34:27,3407,461
2025-12-01 00:41:33,4169,585
2025-12-14 00:38:35,2926,473
2026-01-01 00:40:53,2158,307
2026-01-14 00:37:55,2503,369
2026-02-01 00:50:47,3633,572
2026-02-14 00:43:11,3693,692
2026-03-01 00:50:04,3191,535
2026-03-14 00:41:31,2945,483
2026-04-01 00:54:25,3386,556
2026-04-14 00:54:45,2720,526
2026-05-01 01:05:25,2286,424
2026-05-14 01:05:32,2386,393
2026-06-01 01:17:31,1867,316
2026-06-14 01:18:23,1633,378
2026-07-01 01:14:13,1808,316
2026-07-14 00:43:42,1871,293
2026-08-01 03:33:08,1384,294
2026-08-14 02:26:26,1678,379
2026-09-01 00:58:48,1683,299
2026-09-14 00:53:26,1654,301
